country,origin_quarter,horizon_quarters,target_quarter,macro_feature_quarter,trade_graph_quarter,cpi_yoy_input,energy_cpi_yoy_input,target_cpi_yoy,split
AUT,2011Q3,1,2011Q4,2011Q2,2011Q2,3.6937169874044384,5.0481291163060105,3.6749064769309614,train
BEL,2011Q3,1,2011Q4,2011Q2,2011Q2,3.113949628346679,17.392967690327964,3.3025619006726847,train
BGR,2011Q3,1,2011Q4,2011Q2,2011Q2,3.4249413064493694,2.981080877364861,2.5361702127659536,train
CYP,2011Q3,1,2011Q4,2011Q2,2011Q2,4.077200602472941,15.098116427118224,3.793747406280268,train
CZE,2011Q3,1,2011Q4,2011Q2,2011Q2,1.8678160919540552,5.033557046979853,2.8047464940668787,train
DEU,2011Q3,1,2011Q4,2011Q2,2011Q2,2.5225225225224968,8.908263836239595,2.574186628530573,train
DNK,2011Q3,1,2011Q4,2011Q2,2011Q2,2.939093484419275,6.880894166957741,2.5695177754311738,train
EST,2011Q3,1,2011Q4,2011Q2,2011Q2,5.2821721934895205,3.72434965260946,4.405532009814839,train
FIN,2011Q3,1,2011Q4,2011Q2,2011Q2,3.4144729595770418,21.60106633213108,2.9976019184652314,train
FRA,2011Q3,1,2011Q4,2011Q2,2011Q2,2.2181342201152976,10.441321499013778,2.6482826715565455,train
GRC,2011Q3,1,2011Q4,2011Q2,2011Q2,3.3020600313846016,20.18824433346138,2.6235992089650884,train
HRV,2011Q3,1,2011Q4,2011Q2,2011Q2,2.2652211372774067,1.7957620016760378,2.3711155020657015,train
HUN,2011Q3,1,2011Q4,2011Q2,2011Q2,3.9242621124930377,4.003350567574593,4.066092485121797,train
IRL,2011Q3,1,2011Q4,2011Q2,2011Q2,1.280719972308786,7.904191616766454,1.593349497748564,train
ITA,2011Q3,1,2011Q4,2011Q2,2011Q2,2.9770444763271176,6.991116261104646,3.735325506937026,train
LTU,2011Q3,1,2011Q4,2011Q2,2011Q2,4.713233169604147,9.536082474226816,4.028427556158731,train
LUX,2011Q3,1,2011Q4,2011Q2,2011Q2,3.852321597784125,10.911783514523222,3.7168013856813342,train
LVA,2011Q3,1,2011Q4,2011Q2,2011Q2,4.584691428776111,10.152681180295463,4.0636231007365575,train
MLT,2011Q3,1,2011Q4,2011Q2,2011Q2,2.669981623608253,4.221086503880378,1.900289017341028,train
NLD,2011Q3,1,2011Q4,2011Q2,2011Q2,2.2331076213802037,5.695844185256482,2.628826944574647,train
AUT,2011Q4,1,2012Q1,2011Q3,2011Q3,3.8206656547332463,5.961754780652417,2.7180600796236076,train
BEL,2011Q4,1,2012Q1,2011Q3,2011Q3,3.558242235575171,19.594735019050937,3.2494051635356236,train
BGR,2011Q4,1,2012Q1,2011Q3,2011Q3,3.111676523174234,2.832902987827346,1.8821165438713816,train
CYP,2011Q4,1,2012Q1,2011Q3,2011Q3,2.9259776536313176,16.985084100285587,3.24468453494009,train
CZE,2011Q4,1,2012Q1,2011Q3,2011Q3,2.0452099031216253,5.704821494295165,3.9758608448704047,train
DEU,2011Q4,1,2012Q1,2011Q3,2011Q3,2.622126436781591,9.613928841786556,2.408784980517198,train
DNK,2011Q4,1,2012Q1,2011Q3,2011Q3,2.5423728813559254,6.963788300835683,2.7168234064785635,train
EST,2011Q4,1,2012Q1,2011Q3,2011Q3,5.404080401252043,7.399610755848585,4.599264705882322,train
FIN,2011Q4,1,2012Q1,2011Q3,2011Q3,3.5292820116907597,19.621395384556298,3.0063347768512605,train
FRA,2011Q4,1,2012Q1,2011Q3,2011Q3,2.306139076835878,9.94263862332694,2.570298000490246,train
GRC,2011Q4,1,2012Q1,2011Q3,2011Q3,2.1433825988095956,19.36297848028947,1.6914928831512688,train
HRV,2011Q4,1,2012Q1,2011Q3,2011Q3,2.038834951456314,3.0532525510204245,1.687329046925523,train
HUN,2011Q4,1,2012Q1,2011Q3,2011Q3,3.4444361962735037,5.14699493120927,5.639425170561796,train
IRL,2011Q4,1,2012Q1,2011Q3,2011Q3,1.1426592797783908,8.16733067729083,1.6534619359283464,train
ITA,2011Q4,1,2012Q1,2011Q3,2011Q3,2.6676279740447395,7.838660578386603,3.5395066142295706,train
LTU,2011Q4,1,2012Q1,2011Q3,2011Q3,4.546110029562356,12.055322827315608,3.620786912988261,train
LUX,2011Q4,1,2012Q1,2011Q3,2011Q3,3.5714285714285365,10.189707299245798,3.130676354311346,train
LVA,2011Q4,1,2012Q1,2011Q3,2011Q3,4.4288627338747055,9.126251718044356,3.2912896125222524,train
MLT,2011Q4,1,2012Q1,2011Q3,2011Q3,2.577961099455961,2.241178340574334,2.272810318997331,train
NLD,2011Q4,1,2012Q1,2011Q3,2011Q3,3.137923528984987,6.9007043024486014,2.8838575625134144,train
AUT,2012Q1,1,2012Q2,2011Q4,2011Q4,3.6749064769309614,7.137458157866305,2.258397748726515,train
BEL,2012Q1,1,2012Q2,2011Q4,2011Q4,3.3025619006726847,17.7815013404826,2.564999825034131,train
BGR,2012Q1,1,2012Q2,2011Q4,2011Q4,2.5361702127659536,2.6806229257084313,1.836026171718519,train
