iso3,quarter,split,actual,arima_pred,var_pred
ARG,2019Q3,val,52.16789120091712,50.48710703622577,
ARG,2019Q4,val,50.434133867101295,52.92726537581221,
ARG,2020Q1,val,43.887499320071875,49.14433466561779,
ARG,2020Q2,val,39.79948381616827,40.773209990462234,
ARG,2020Q3,val,36.37780693689867,39.09019017747625,
ARG,2020Q4,val,40.64709688844841,34.39791712176004,
ARG,2021Q1,test,48.46569211541036,45.0657608115626,
ARG,2021Q2,test,51.89366818551473,50.771936939259035,
ARG,2021Q3,test,51.39849539751849,52.94538269530374,
ARG,2021Q4,test,52.76676159719149,49.94270523388248,
ARG,2022Q1,test,60.96348298503778,55.43391711779805,
ARG,2022Q2,test,77.63295355850465,66.20200710972297,
ARG,2022Q3,test,91.816409784318,88.4923049323024,
ARG,2022Q4,test,101.97456033943509,94.9823965933689,
ARG,2023Q1,test,112.99917763779273,108.64905605747805,
ARG,2023Q2,test,125.89153718470897,117.16012851281107,
ARG,2023Q3,test,145.74637690411336,134.01884405443585,
ARG,2023Q4,test,,156.77412623656704,
ARG,2024Q1,test,,156.77412623656704,
ARG,2024Q2,test,,156.77412623656704,
ARG,2024Q3,test,,156.77412623656704,
ARG,2024Q4,test,,156.77412623656704,
AUS,2019Q1,val,1.5929235583455714,1.297453854701521,1.2179262933924815
AUS,2019Q2,val,1.674037897804559,1.6148841738305166,1.7404050594976186
AUS,2019Q3,val,1.8404786395764816,1.6784707737545121,1.852487314796893
AUS,2019Q4,val,2.191059480781754,1.8526734598058607,1.8779569806121228
AUS,2020Q1,val,-0.3484431671842536,2.216947885140434,1.7325813556604592
AUS,2020Q2,val,0.6931692643019183,-0.49286912776927316,-1.2014349474372268
AUS,2020Q3,val,0.8606590416921245,0.6865852390263995,1.449060216283868
AUS,2020Q4,val,1.1149814200545285,0.8601864153099696,0.8677054045542492
AUS,2021Q1,test,3.8461828066291615,1.114505193961958,1.9419561470766624
AUS,2021Q2,test,3.01212131882469,3.8790372041608445,4.588921521464045
AUS,2021Q3,test,3.4982420132646075,3.0344009090745523,2.2147411155965306
AUS,2021Q4,test,5.089035053271251,3.482192548874454,3.3025249073671756
AUS,2022Q1,test,6.144817460029728,5.052818475662839,5.099630984882138
AUS,2022Q2,test,7.268105271395786,6.151156772503673,4.844922241096605
AUS,2022Q3,test,7.831870740267965,7.294000285353117,6.320129507170683
AUS,2022Q4,test,7.021817439177536,7.848812387664435,6.918730077313051
