iso3,quarter,actual,stgnn_pred,split
ARG,2019Q1,56.277896881103516,51.669036865234375,val
AUS,2019Q1,1.5929235219955444,1.1928703784942627,val
BRA,2019Q1,4.316850662231445,3.948441505432129,val
CAN,2019Q1,2.1484084129333496,1.4718129634857178,val
CHE,2019Q1,0.6474238038063049,0.4840574860572815,val
CHN,2019Q1,2.667513608932495,1.6925898790359497,val
DEU,2019Q1,1.7041856050491333,1.2290416955947876,val
FRA,2019Q1,1.1238495111465454,1.0821678638458252,val
GBR,2019Q1,1.9224708080291748,1.6733559370040894,val
IDN,2019Q1,3.144191265106201,2.4853744506835938,val
IND,2019Q1,8.525344848632812,6.937507152557373,val
ITA,2019Q1,0.8482871055603027,0.8129634857177734,val
JPN,2019Q1,0.7392950654029846,0.16129404306411743,val
KOR,2019Q1,0.652198076248169,0.40345972776412964,val
MEX,2019Q1,4.213954448699951,3.9616425037384033,val
NLD,2019Q1,2.6580111980438232,2.40144944190979,val
RUS,2019Q1,4.989059925079346,5.028329372406006,val
SAU,2019Q1,-2.700186252593994,-3.3428220748901367,val
SGP,2019Q1,0.4387842118740082,0.2975012958049774,val
TUR,2019Q1,17.950336456298828,19.76780891418457,val
USA,2019Q1,1.8223837614059448,1.4924482107162476,val
VNM,2019Q1,3.539628028869629,3.4007785320281982,val
ZAF,2019Q1,4.402490615844727,4.005175590515137,val
ARG,2019Q2,54.12113952636719,56.26283645629883,val
AUS,2019Q2,1.6740379333496094,1.5865250825881958,val
BRA,2019Q2,3.180898904800415,4.314631462097168,val
CAN,2019Q2,1.9393147230148315,2.1418254375457764,val
CHE,2019Q2,0.25935959815979004,0.6424164772033691,val
CHN,2019Q2,2.86433744430542,2.670016288757324,val
DEU,2019Q2,1.4668471813201904,1.7045921087265015,val
FRA,2019Q2,1.0044426918029785,1.1205964088439941,val
GBR,2019Q2,1.7868338823318481,1.9195475578308105,val
IDN,2019Q2,3.4001657962799072,3.1377182006835938,val
IND,2019Q2,6.422973155975342,8.520710945129395,val
ITA,2019Q2,0.35667964816093445,0.8453720808029175,val
JPN,2019Q2,0.3345696032047272,0.7377389669418335,val
KOR,2019Q2,0.044590022414922714,0.6500489711761475,val
MEX,2019Q2,3.3124337196350098,4.2070698738098145,val
NLD,2019Q2,2.6676902770996094,2.6539242267608643,val
RUS,2019Q2,4.303348541259766,4.983177661895752,val
SAU,2019Q2,-1.8203034400939941,-2.7060964107513428,val
SGP,2019Q2,0.4387842118740082,0.4327005445957184,val
TUR,2019Q2,13.526150703430176,17.941621780395508,val
USA,2019Q2,1.7493996620178223,1.8254541158676147,val
VNM,2019Q2,3.539628028869629,3.5331108570098877,val
ZAF,2019Q2,4.174056529998779,4.393161773681641,val
ARG,2019Q3,52.16789245605469,53.979705810546875,val
AUS,2019Q3,1.8404786586761475,1.5356779098510742,val
BRA,2019Q3,3.3719322681427,3.044262170791626,val
CAN,2019Q3,2.094757080078125,1.8019204139709473,val
CHE,2019Q3,-0.07654131948947906,0.12175269424915314,val
CHN,2019Q3,4.222708702087402,2.73766827583313,val
DEU,2019Q3,1.2447969913482666,1.3355906009674072,val
FRA,2019Q3,1.0850317478179932,0.8701240420341492,val
GBR,2019Q3,1.4343622922897339,1.6527442932128906,val
IDN,2019Q3,2.9494450092315674,3.2615113258361816,val
IND,2019Q3,8.618775367736816,6.289219379425049,val
ITA,2019Q3,0.29287341237068176,0.22133490443229675,val
JPN,2019Q3,0.5001318454742432,0.20173513889312744,val
KOR,2019Q3,0.295617014169693,-0.08939933776855469,val
MEX,2019Q3,2.940383195877075,3.173825979232788,val
NLD,2019Q3,2.666794776916504,2.5321083068847656,val
RUS,2019Q3,3.4488086700439453,4.165895938873291,val
SAU,2019Q3,-0.6260307431221008,-1.9597710371017456,val
SGP,2019Q3,0.567829966545105,0.30222049355506897,val
TUR,2019Q3,10.306309700012207,13.388616561889648,val
USA,2019Q3,2.0485851764678955,1.621694803237915,val
VNM,2019Q3,2.795823574066162,3.402726888656616,val
ZAF,2019Q3,3.6971492767333984,4.032670021057129,val
ARG,2019Q4,50.43413543701172,52.05876159667969,val
AUS,2019Q4,2.1910595893859863,1.7377588748931885,val
BRA,2019Q4,3.831519842147827,3.274390697479248,val
CAN,2019Q4,1.8091663122177124,1.9908968210220337,val
CHE,2019Q4,-0.12613558769226074,-0.1782734990119934,val
CHN,2019Q4,4.956629276275635,4.121213912963867,val
DEU,2019Q4,1.6195437908172607,1.1434266567230225,val
FRA,2019Q4,1.1937024593353271,0.98214191198349,val
GBR,2019Q4,1.6552155017852783,1.3318612575531006,val
IDN,2019Q4,2.9205994606018066,2.8467164039611816,val
IND,2019Q4,6.608915328979492,8.51427173614502,val
ITA,2019Q4,0.29249268770217896,0.19120901823043823,val
JPN,2019Q4,0.6686258912086487,0.3972535729408264,val
KOR,2019Q4,0.966648280620575,0.19404906034469604,val
MEX,2019Q4,3.394338369369507,2.837106227874756,val
NLD,2019Q4,1.6126466989517212,2.5637965202331543,val
RUS,2019Q4,2.4273970127105713,3.345438241958618,val
SAU,2019Q4,1.1451425552368164,-0.728676438331604,val
SGP,2019Q4,0.567829966545105,0.4638380706310272,val
TUR,2019Q4,12.125799179077148,10.201825141906738,val
USA,2019Q4,2.1437675952911377,1.9480074644088745,val
VNM,2019Q4,2.795823574066162,2.693478584289551,val
ZAF,2019Q4,4.330737590789795,3.5939011573791504,val
